Feature ID	Type	Contig	Start	Stop	Length (bp)	Function	Subsystems	Begin	End	Region
fig|3132360.4.peg.1	CDS	JBBJSN010000001.1	863	294	570	ATP:Cob(I)alamin adenosyltransferase (EC 2.5.1.17)	- none -	294	863	
fig|3132360.4.peg.2	CDS	JBBJSN010000001.1	2279	993	1287	Vitamin B12 ABC transporter, ATP-binding protein BtuD / Adenosylcobinamide amidohydrolase (EC 3.5.1.90)	- none -	993	2279	
fig|3132360.4.peg.3	CDS	JBBJSN010000001.1	3247	2276	972	Vitamin B12 ABC transporter, permease protein BtuC	- none -	2276	3247	
fig|3132360.4.peg.4	CDS	JBBJSN010000001.1	4250	3300	951	Vitamin B12 ABC transporter, substrate-binding protein BtuF	- none -	3300	4250	
fig|3132360.4.peg.5	CDS	JBBJSN010000001.1	5815	4424	1392	Polygalacturonase (EC 3.2.1.15)	- none -	4424	5815	
fig|3132360.4.peg.6	CDS	JBBJSN010000001.1	7329	5836	1494	Altronate dehydratase (EC 4.2.1.7)	- none -	5836	7329	
fig|3132360.4.peg.7	CDS	JBBJSN010000001.1	8783	7326	1458	Altronate oxidoreductase (EC 1.1.1.58)	- none -	7326	8783	
fig|3132360.4.peg.8	CDS	JBBJSN010000001.1	9853	8843	1011	Hexuronate utilization operon transcriptional repressor ExuR	- none -	8843	9853	
fig|3132360.4.peg.9	CDS	JBBJSN010000001.1	11358	9922	1437	Uronate isomerase (EC 5.3.1.12)	- none -	9922	11358	
fig|3132360.4.peg.10	CDS	JBBJSN010000001.1	13249	11495	1755	Sensor histidine kinase YvrG	- none -	11495	13249	
fig|3132360.4.peg.11	CDS	JBBJSN010000001.1	13975	13253	723	Transcriptional regulatory protein YvrH	- none -	13253	13975	
fig|3132360.4.peg.12	CDS	JBBJSN010000001.1	14967	14152	816	Ferrichrome transport ATP-binding protein FhuC	- none -	14152	14967	
fig|3132360.4.peg.13	CDS	JBBJSN010000001.1	16009	14987	1023	Ferrichrome transport system permease protein FhuG	- none -	14987	16009	
fig|3132360.4.peg.14	CDS	JBBJSN010000001.1	17017	16010	1008	Ferrichrome transport system permease protein FhuB	- none -	16010	17017	
fig|3132360.4.peg.15	CDS	JBBJSN010000001.1	17322	18260	939	hypothetical protein	- none -	17322	18260	
fig|3132360.4.peg.16	CDS	JBBJSN010000001.1	19702	18296	1407	Arginine/ornithine antiporter ArcD	Arginine Deiminase Pathway, Arginine and Ornithine Degradation, Polyamine Metabolism	18296	19702	
fig|3132360.4.peg.17	CDS	JBBJSN010000001.1	20335	20192	144	hypothetical protein	- none -	20192	20335	
fig|3132360.4.peg.18	CDS	JBBJSN010000001.1	20846	20418	429	hypothetical protein	- none -	20418	20846	
fig|3132360.4.peg.19	CDS	JBBJSN010000001.1	21020	20892	129	hypothetical protein	- none -	20892	21020	
fig|3132360.4.peg.20	CDS	JBBJSN010000001.1	21019	21510	492	Membrane-bound metal-dependent hydrolase YdjM, induced during SOS response	- none -	21019	21510	
fig|3132360.4.peg.21	CDS	JBBJSN010000001.1	21635	23485	1851	Lipoteichoic acid synthase LtaS Type IIIa	Polyglycerolphosphate lipoteichoic acid biosynthesis	21635	23485	
fig|3132360.4.peg.22	CDS	JBBJSN010000001.1	23637	24413	777	Molybdenum ABC transporter, substrate-binding protein ModA	- none -	23637	24413	
fig|3132360.4.peg.23	CDS	JBBJSN010000001.1	24413	25078	666	Molybdenum ABC transporter permease protein ModB	- none -	24413	25078	
