Category	Subsystem	Role	Contig	Start	Stop
Carbohydrates	Chitin and N-acetylglucosamine utilization	Predicted transcriptional regulator of N-Acetylglucosamine utilization, GntR family	NZ_JBBJSQ010000002.1	575751	575026
Carbohydrates	Chitin and N-acetylglucosamine utilization	N-acetylglucosamine-6-phosphate deacetylase (EC 3.5.1.25)	NZ_JBBJSQ010000002.1	577733	576549
Carbohydrates	Chitin and N-acetylglucosamine utilization	Glucosamine-6-phosphate deaminase (EC 3.5.99.6)	NZ_JBBJSQ010000002.1	576546	575809
Carbohydrates	Glycogen metabolism	Glucose-1-phosphate adenylyltransferase (EC 2.7.7.27)	NZ_JBBJSQ010000001.1	2466	3617
Carbohydrates	Glycogen metabolism	Glycogen synthase, ADP-glucose transglucosylase (EC 2.4.1.21)	NZ_JBBJSQ010000001.1	4662	6092
Carbohydrates	Glycogen metabolism	Glycogen biosynthesis protein GlgD, glucose-1-phosphate adenylyltransferase family	NZ_JBBJSQ010000001.1	3640	4665
Carbohydrates	Glycogen metabolism	1,4-alpha-glucan (glycogen) branching enzyme, GH-13-type (EC 2.4.1.18)	NZ_JBBJSQ010000001.1	554	2515
Carbohydrates	Glycogen metabolism	Glycogen phosphorylase (EC 2.4.1.1)	NZ_JBBJSQ010000001.1	6106	8517
Carbohydrates	Carbon storage regulator	Carbon storage regulator	NZ_JBBJSQ010000006.1	181480	181250
Carbohydrates	Carbon storage regulator	Flagellar assembly factor FliW	NZ_JBBJSQ010000006.1	181927	181505
Carbohydrates	Fructose utilization	Transcriptional repressor of the fructose operon, DeoR family	NZ_JBBJSQ010000005.1	394014	393262
Carbohydrates	Fructose utilization	Transaldolase (EC 2.2.1.2)	NZ_JBBJSQ010000001.1	1173918	1174598
Carbohydrates	Fructose utilization	1-phosphofructokinase (EC 2.7.1.56)	NZ_JBBJSQ010000005.1	393265	392351
Carbohydrates	Fructose utilization	Phosphoenolpyruvate-protein phosphotransferase of PTS system (EC 2.7.3.9)	NZ_JBBJSQ010000003.1	435616	433895
Carbohydrates	Fructose utilization	Fructokinase (EC 2.7.1.4)	NZ_JBBJSQ010000002.1	558956	559933
Carbohydrates	Fructose utilization	Phosphotransferase system, phosphocarrier protein HPr	NZ_JBBJSQ010000003.1	435882	435616
Carbohydrates	2-Ketogluconate Utilization	2-ketogluconate kinase (EC 2.7.1.13)	NZ_JBBJSQ010000004.1	347345	348304
Carbohydrates	2-Ketogluconate Utilization	2-ketogluconate utilization repressor PtxS	NZ_JBBJSQ010000004.1	350363	351370
Carbohydrates	2-Ketogluconate Utilization	Epimerase KguE	NZ_JBBJSQ010000004.1	346605	347348
Carbohydrates	2-Ketogluconate Utilization	2-ketogluconate transporter	NZ_JBBJSQ010000004.1	348307	349587
Carbohydrates	D-gluconate and ketogluconates metabolism	2-ketogluconate kinase (EC 2.7.1.13)	NZ_JBBJSQ010000004.1	347345	348304
Carbohydrates	D-gluconate and ketogluconates metabolism	Gluconate permease	NZ_JBBJSQ010000002.1	134878	136206
Carbohydrates	D-gluconate and ketogluconates metabolism	Glucose 1-dehydrogenase (EC 1.1.1.47)	NZ_JBBJSQ010000001.1	1416795	1417091
Carbohydrates	D-gluconate and ketogluconates metabolism	Gluconate transporter family protein	NZ_JBBJSQ010000002.1	549943	550446
Carbohydrates	D-gluconate and ketogluconates metabolism	6-phosphogluconate dehydrogenase, decarboxylating (EC 1.1.1.44)	NZ_JBBJSQ010000002.1	130337	131236
Carbohydrates	D-gluconate and ketogluconates metabolism	Gluconokinase (EC 2.7.1.12)	NZ_JBBJSQ010000002.1	131262	132803
Carbohydrates	Deoxyribose and Deoxynucleoside Catabolism	Deoxyribonucleoside regulator DeoR (transcriptional repressor)	NZ_JBBJSQ010000004.1	492751	493701
Carbohydrates	Deoxyribose and Deoxynucleoside Catabolism	Ribokinase (EC 2.7.1.15)	NZ_JBBJSQ010000002.1	310724	311602
Carbohydrates	Deoxyribose and Deoxynucleoside Catabolism	Phosphopentomutase (EC 5.4.2.7)	NZ_JBBJSQ010000001.1	493635	494816
Carbohydrates	Deoxyribose and Deoxynucleoside Catabolism	Purine nucleoside phosphorylase (EC 2.4.2.1)	NZ_JBBJSQ010000001.1	494833	495663
Carbohydrates	Deoxyribose and Deoxynucleoside Catabolism	Deoxyribose-phosphate aldolase (EC 4.1.2.4)	NZ_JBBJSQ010000004.1	495536	496210
Carbohydrates	Deoxyribose and Deoxynucleoside Catabolism	Pyrimidine-nucleoside phosphorylase (EC 2.4.2.2)	NZ_JBBJSQ010000004.1	494213	495514
Carbohydrates	D-Galacturonate and D-Glucuronate Utilization	D-mannonate oxidoreductase (EC 1.1.1.57)	NZ_JBBJSQ010000001.1	1371798	1372568
Carbohydrates	D-Galacturonate and D-Glucuronate Utilization	Glucuronide transporter UidB	NZ_JBBJSQ010000001.1	1375790	1377187
Carbohydrates	D-Galacturonate and D-Glucuronate Utilization	Transcriptional regulator KdgR, KDG operon repressor	NZ_JBBJSQ010000004.1	426778	427572
Carbohydrates	D-Galacturonate and D-Glucuronate Utilization	Alpha-glucosidase (EC 3.2.1.20)	NZ_JBBJSQ010000001.1	1377296	1379701
Carbohydrates	D-Galacturonate and D-Glucuronate Utilization	2-dehydro-3-deoxy-D-gluconate 5-dehydrogenase (EC 1.1.1.127)	NZ_JBBJSQ010000004.1	463935	464696
Carbohydrates	D-Galacturonate and D-Glucuronate Utilization	2-dehydro-3-deoxyphosphogluconate aldolase (EC 4.1.2.14)	NZ_JBBJSQ010000004.1	349614	350258
Carbohydrates	D-Galacturonate and D-Glucuronate Utilization	Altronate oxidoreductase (EC 1.1.1.58)	NZ_JBBJSQ010000018.1	22334	23830
Carbohydrates	D-Galacturonate and D-Glucuronate Utilization	Uronate isomerase (EC 5.3.1.12)	NZ_JBBJSQ010000001.1	1369042	1370445
Carbohydrates	D-Galacturonate and D-Glucuronate Utilization	2-deoxy-D-gluconate 3-dehydrogenase (EC 1.1.1.125)	NZ_JBBJSQ010000004.1	463935	464696
Carbohydrates	D-Galacturonate and D-Glucuronate Utilization	Mannonate dehydratase (EC 4.2.1.8)	NZ_JBBJSQ010000018.1	32545	33258
Carbohydrates	D-galactarate, D-glucarate and D-glycerate catabolism	D-glycerate transporter (predicted)	NZ_JBBJSQ010000007.1	8818	10086
Carbohydrates	D-galactarate, D-glucarate and D-glycerate catabolism	2-hydroxy-3-oxopropionate reductase (EC 1.1.1.60)	NZ_JBBJSQ010000002.1	69198	68314
Carbohydrates	D-galactarate, D-glucarate and D-glycerate catabolism	Sugar diacid utilization regulator SdaR	NZ_JBBJSQ010000007.1	7594	8691
Carbohydrates	D-galactarate, D-glucarate and D-glycerate catabolism	Glycerate kinase (EC 2.7.1.31)	NZ_JBBJSQ010000007.1	10108	11244
Carbohydrates	D-ribose utilization	Ribose operon repressor	NZ_JBBJSQ010000002.1	309742	310731
Carbohydrates	D-ribose utilization	Ribokinase (EC 2.7.1.15)	NZ_JBBJSQ010000002.1	310724	311602
Carbohydrates	D-galactarate, D-glucarate and D-glycerate catabolism - gjo	Glycerate kinase (EC 2.7.1.31)	NZ_JBBJSQ010000007.1	10108	11244
Carbohydrates	D-galactarate, D-glucarate and D-glycerate catabolism - gjo	Sugar diacid utilization regulator SdaR	NZ_JBBJSQ010000007.1	7594	8691
Carbohydrates	D-galactarate, D-glucarate and D-glycerate catabolism - gjo	D-glycerate transporter (predicted)	NZ_JBBJSQ010000007.1	8818	10086
Carbohydrates	D-galactarate, D-glucarate and D-glycerate catabolism - gjo	2-hydroxy-3-oxopropionate reductase (EC 1.1.1.60)	NZ_JBBJSQ010000002.1	69198	68314
Carbohydrates	L-Arabinose utilization	Arabinose-proton symporter	NZ_JBBJSQ010000001.1	1280146	1281525
Carbohydrates	L-Arabinose utilization	L-ribulose-5-phosphate 4-epimerase (EC 5.1.3.4)	NZ_JBBJSQ010000001.1	1277846	1278544
Carbohydrates	L-Arabinose utilization	L-arabinose isomerase (EC 5.3.1.4)	NZ_JBBJSQ010000001.1	1278574	1279998
Carbohydrates	L-Arabinose utilization	Ribulokinase (EC 2.7.1.16)	NZ_JBBJSQ010000001.1	1276221	1277852
Carbohydrates	Xylose utilization	Xylose isomerase (EC 5.3.1.5)	NZ_JBBJSQ010000008.1	56900	58237
Carbohydrates	Xylose utilization	Xylose-responsive transcription regulator, ROK family	NZ_JBBJSQ010000008.1	56674	55508
Carbohydrates	Xylose utilization	Xylulose kinase (EC 2.7.1.17)	NZ_JBBJSQ010000008.1	58296	59798
Carbohydrates	Xylose utilization	D-xylose proton-symporter XylE	NZ_JBBJSQ010000008.1	60100	61521
Carbohydrates	Lactose and Galactose Uptake and Utilization	Aldose 1-epimerase (EC 5.1.3.3)	NZ_JBBJSQ010000008.1	50256	51311
Carbohydrates	Lactose and Galactose Uptake and Utilization	UDP-glucose 4-epimerase (EC 5.1.3.2)	NZ_JBBJSQ010000002.1	434108	435088
Carbohydrates	Lactose and Galactose Uptake and Utilization	Galactose-1-phosphate uridylyltransferase (EC 2.7.7.10)	NZ_JBBJSQ010000002.1	66748	68271
Carbohydrates	Lactose and Galactose Uptake and Utilization	Galactokinase (EC 2.7.1.6)	NZ_JBBJSQ010000002.1	65537	66715
Carbohydrates	Sucrose utilization	Sucrose-6-phosphate hydrolase (EC 3.2.1.26)	NZ_JBBJSQ010000001.1	1042176	1043654
Carbohydrates	Sucrose utilization	Fructokinase (EC 2.7.1.4)	NZ_JBBJSQ010000002.1	558956	559933
Carbohydrates	Sucrose utilization	Sucrose operon repressor ScrR, LacI family	NZ_JBBJSQ010000003.1	164810	165793
Carbohydrates	Sucrose utilization	Sucrose permease, major facilitator superfamily	NZ_JBBJSQ010000003.1	164482	163241
Carbohydrates	Fermentations: Lactate	Phosphate acetyltransferase (EC 2.3.1.8)	NZ_JBBJSQ010000006.1	275515	274544
Carbohydrates	Fermentations: Lactate	L-lactate dehydrogenase (EC 1.1.1.27)	NZ_JBBJSQ010000010.1	48976	48020
Carbohydrates	Fermentations: Lactate	Acetate kinase (EC 2.7.2.1)	NZ_JBBJSQ010000001.1	107647	108837
Carbohydrates	Acetolactate synthase subunits	Acetolactate synthase large subunit (EC 2.2.1.6)	NZ_JBBJSQ010000001.1	202870	204576
Carbohydrates	Acetolactate synthase subunits	Acetolactate synthase small subunit (EC 2.2.1.6)	NZ_JBBJSQ010000001.1	204573	205085
Carbohydrates	Butanol Biosynthesis	Acetyl-CoA acetyltransferase (EC 2.3.1.9)	NZ_JBBJSQ010000001.1	485433	486620
Carbohydrates	Butanol Biosynthesis	Alcohol dehydrogenase (EC 1.1.1.1)	NZ_JBBJSQ010000001.1	1131332	1132534
Carbohydrates	Butanol Biosynthesis	3-hydroxybutyryl-CoA dehydrogenase (EC 1.1.1.157)	NZ_JBBJSQ010000003.1	75501	74542
Carbohydrates	Butanol Biosynthesis	Enoyl-CoA hydratase (EC 4.2.1.17)	NZ_JBBJSQ010000001.1	172926	173699
Carbohydrates	Acetyl-CoA fermentation to Butyrate	3-hydroxyacyl-CoA dehydrogenase (EC 1.1.1.35)	NZ_JBBJSQ010000003.1	75501	74542
Carbohydrates	Acetyl-CoA fermentation to Butyrate	Acetyl-CoA acetyltransferase (EC 2.3.1.9)	NZ_JBBJSQ010000001.1	485433	486620
Carbohydrates	Acetyl-CoA fermentation to Butyrate	Acetoacetyl-CoA reductase (EC 1.1.1.36)	NZ_JBBJSQ010000003.1	506960	506217
Carbohydrates	Acetyl-CoA fermentation to Butyrate	Electron transfer flavoprotein, alpha subunit	NZ_JBBJSQ010000001.1	174525	175505
Carbohydrates	Acetyl-CoA fermentation to Butyrate	Enoyl-CoA hydratase (EC 4.2.1.17)	NZ_JBBJSQ010000001.1	172926	173699
Carbohydrates	Acetyl-CoA fermentation to Butyrate	3-hydroxybutyryl-CoA dehydrogenase (EC 1.1.1.157)	NZ_JBBJSQ010000003.1	75501	74542
Carbohydrates	Acetyl-CoA fermentation to Butyrate	3-hydroxybutyrate dehydrogenase (EC 1.1.1.30)	NZ_JBBJSQ010000005.1	183023	182247
Carbohydrates	Acetyl-CoA fermentation to Butyrate	Electron transfer flavoprotein, beta subunit	NZ_JBBJSQ010000001.1	173718	174491
Carbohydrates	Acetoin, butanediol metabolism	Acetolactate synthase large subunit (EC 2.2.1.6)	NZ_JBBJSQ010000001.1	202870	204576
Carbohydrates	Acetoin, butanediol metabolism	Alpha-acetolactate decarboxylase (EC 4.1.1.5)	NZ_JBBJSQ010000002.1	174268	173555
Carbohydrates	Acetoin, butanediol metabolism	Transcriptional activator of acetoin dehydrogenase operon AcoR	NZ_JBBJSQ010000008.1	79578	81455
Carbohydrates	Acetoin, butanediol metabolism	Acetolactate synthase small subunit (EC 2.2.1.6)	NZ_JBBJSQ010000001.1	204573	205085
Carbohydrates	Acetoin, butanediol metabolism	Acetolactate synthase, catabolic (EC 2.2.1.6)	NZ_JBBJSQ010000002.1	175526	174285
Carbohydrates	Acetoin, butanediol metabolism	2,3-butanediol dehydrogenase, R-alcohol forming, (R)- and (S)-acetoin-specific (EC 1.1.1.4)	NZ_JBBJSQ010000008.1	81510	82559
Carbohydrates	Acetoin, butanediol metabolism	Dihydrolipoamide dehydrogenase of acetoin dehydrogenase (EC 1.8.1.4)	NZ_JBBJSQ010000008.1	77934	79313
Carbohydrates	TCA Cycle	Dihydrolipoamide succinyltransferase component (E2) of 2-oxoglutarate dehydrogenase complex (EC 2.3.1.61)	NZ_JBBJSQ010000004.1	392635	393930
Carbohydrates	TCA Cycle	Aconitate hydratase (EC 4.2.1.3)	NZ_JBBJSQ010000007.1	263681	266401
Carbohydrates	TCA Cycle	Citrate synthase (si) (EC 2.3.3.1)	NZ_JBBJSQ010000001.1	132419	133537
Carbohydrates	TCA Cycle	Succinyl-CoA ligase [ADP-forming] beta chain (EC 6.2.1.5)	NZ_JBBJSQ010000001.1	696924	698084
Carbohydrates	TCA Cycle	Malate:quinone oxidoreductase (EC 1.1.5.4)	NZ_JBBJSQ010000004.1	440966	442468
Carbohydrates	TCA Cycle	Fumarate hydratase class II (EC 4.2.1.2)	NZ_JBBJSQ010000005.1	202346	200967
Carbohydrates	TCA Cycle	Fumarate hydratase class I, aerobic (EC 4.2.1.2)	NZ_JBBJSQ010000009.1	125148	126689
