Category	Subsystem	Role	Contig	Start	Stop
Carbohydrates	Glycerol and Glycerol-3-phosphate Uptake and Utilization	Glycerol kinase (EC 2.7.1.30)	NZ_JBBJSM010000011.1	64307	65797
Carbohydrates	Glycerol and Glycerol-3-phosphate Uptake and Utilization	Glycerol uptake facilitator protein	NZ_JBBJSM010000011.1	63467	64282
Carbohydrates	Glycerol and Glycerol-3-phosphate Uptake and Utilization	Glycerol-3-phosphate ABC transporter, permease protein UgpE (TC 3.A.1.1.3)	NZ_JBBJSM010000006.1	90977	90165
Carbohydrates	Glycerol and Glycerol-3-phosphate Uptake and Utilization	Aerobic glycerol-3-phosphate dehydrogenase (EC 1.1.5.3)	NZ_JBBJSM010000011.1	65945	67615
Carbohydrates	Glycerol and Glycerol-3-phosphate Uptake and Utilization	Glycerol-3-phosphate dehydrogenase [NAD(P)+] (EC 1.1.1.94)	NZ_JBBJSM010000010.1	92325	93359
Carbohydrates	Glycerol and Glycerol-3-phosphate Uptake and Utilization	Glycerol-3-phosphate ABC transporter, permease protein UgpA (TC 3.A.1.1.3)	NZ_JBBJSM010000006.1	91906	90974
Carbohydrates	Glycerol and Glycerol-3-phosphate Uptake and Utilization	Glycerophosphoryl diester phosphodiesterase (EC 3.1.4.46)	NZ_JBBJSM010000001.1	181354	182409
Carbohydrates	Glycerol and Glycerol-3-phosphate Uptake and Utilization	Glycerol-3-phosphate responsive antiterminator (mRNA-binding)	NZ_JBBJSM010000011.1	62745	63305
Carbohydrates	Glycerate metabolism	Pyruvate kinase (EC 2.7.1.40)	NZ_JBBJSM010000002.1	392240	390480
Carbohydrates	Glycerate metabolism	D-glycerate transporter (predicted)	NZ_JBBJSM010000007.1	17716	16448
Carbohydrates	Glycerate metabolism	2-hydroxy-3-oxopropionate reductase (EC 1.1.1.60)	NZ_JBBJSM010000008.1	58152	57277
Carbohydrates	Glycerate metabolism	Hydroxypyruvate reductase (EC 1.1.1.81)	NZ_JBBJSM010000005.1	212327	213286
Carbohydrates	Glycerate metabolism	Glycerate kinase (EC 2.7.1.31)	NZ_JBBJSM010000007.1	16435	15302
Carbohydrates	Photorespiration (oxidative C2 cycle)	Glycolate dehydrogenase (EC 1.1.99.14), subunit GlcD	NZ_JBBJSM010000001.1	396696	398159
Carbohydrates	Photorespiration (oxidative C2 cycle)	Malate synthase G (EC 2.3.3.9)	NZ_JBBJSM010000001.1	398304	400484
Carbohydrates	Photorespiration (oxidative C2 cycle)	Glycine dehydrogenase [decarboxylating] (glycine cleavage system P2 protein) (EC 1.4.4.2)	NZ_JBBJSM010000002.1	90977	89517
Carbohydrates	Photorespiration (oxidative C2 cycle)	Aminomethyltransferase (glycine cleavage system T protein) (EC 2.1.2.10)	NZ_JBBJSM010000002.1	93445	92342
Carbohydrates	Photorespiration (oxidative C2 cycle)	Serine hydroxymethyltransferase (EC 2.1.2.1)	NZ_JBBJSM010000003.1	259807	258572
Carbohydrates	Photorespiration (oxidative C2 cycle)	Glycolate dehydrogenase (EC 1.1.99.14), FAD-binding subunit GlcE	NZ_JBBJSM010000001.1	394031	395332
Carbohydrates	Photorespiration (oxidative C2 cycle)	Glycine dehydrogenase [decarboxylating] (glycine cleavage system P1 protein) (EC 1.4.4.2)	NZ_JBBJSM010000002.1	92316	90970
Carbohydrates	Photorespiration (oxidative C2 cycle)	Glycerate kinase (EC 2.7.1.31)	NZ_JBBJSM010000007.1	16435	15302
Carbohydrates	Photorespiration (oxidative C2 cycle)	Phosphoglycolate phosphatase (EC 3.1.3.18)	NZ_JBBJSM010000007.1	187112	186447
Carbohydrates	Photorespiration (oxidative C2 cycle)	Glycolate dehydrogenase (EC 1.1.99.14), iron-sulfur subunit GlcF	NZ_JBBJSM010000001.1	395334	396692
Carbohydrates	Photorespiration (oxidative C2 cycle)	2-hydroxy-3-oxopropionate reductase (EC 1.1.1.60)	NZ_JBBJSM010000008.1	58152	57277
Carbohydrates	Photorespiration (oxidative C2 cycle)	Hydroxypyruvate reductase (EC 1.1.1.81)	NZ_JBBJSM010000005.1	212327	213286
Carbohydrates	Photorespiration (oxidative C2 cycle)	Glycine cleavage system H protein	NZ_JBBJSM010000005.1	183322	183705
Carbohydrates	Chitin and N-acetylglucosamine utilization	N-acetylglucosamine-6-phosphate deacetylase (EC 3.5.1.25)	NZ_JBBJSM010000007.1	60980	59793
Carbohydrates	Chitin and N-acetylglucosamine utilization	Glucosamine-6-phosphate deaminase (EC 3.5.99.6)	NZ_JBBJSM010000007.1	59796	59041
Carbohydrates	Chitin and N-acetylglucosamine utilization	Predicted transcriptional regulator of N-Acetylglucosamine utilization, GntR family	NZ_JBBJSM010000007.1	59044	58316
Carbohydrates	Xylose utilization	Xylulose kinase (EC 2.7.1.17)	NZ_JBBJSM010000004.1	318146	316647
Carbohydrates	Xylose utilization	Xylose isomerase (EC 5.3.1.5)	NZ_JBBJSM010000004.1	319581	318253
Carbohydrates	Xylose utilization	Xylose-responsive transcription regulator, ROK family	NZ_JBBJSM010000004.1	319827	320981
Carbohydrates	D-ribose utilization	Ribokinase (EC 2.7.1.15)	NZ_JBBJSM010000006.1	179794	178874
Carbohydrates	D-ribose utilization	Ribose operon repressor	NZ_JBBJSM010000006.1	184070	183048
