Feature ID	Type	Contig	Start	Stop	Length (bp)	Function	Subsystems	Begin	End	Region
fig|1423.3417.peg.1	CDS	NZ_JBBJSP010000001.1	2830	365	2466	DNA gyrase subunit A (EC 5.99.1.3)	DNA gyrase subunits, DNA replication cluster 1, DNA topoisomerases, Type II, ATP-dependent, Resistance to fluoroquinolones	365	2830	
fig|1423.3417.peg.2	CDS	NZ_JBBJSP010000001.1	2931	3044	114	FIG01239142: hypothetical protein	- none -	2931	3044	
fig|1423.3417.peg.3	CDS	NZ_JBBJSP010000001.1	4963	3041	1923	DNA gyrase subunit B (EC 5.99.1.3)	DNA gyrase subunits, DNA replication cluster 1, DNA topoisomerases, Type II, ATP-dependent, Resistance to fluoroquinolones	3041	4963	
fig|1423.3417.peg.4	CDS	NZ_JBBJSP010000001.1	5257	5012	246	OrfX	DNA replication cluster 1	5012	5257	
fig|1423.3417.peg.5	CDS	NZ_JBBJSP010000001.1	6387	5275	1113	DNA recombination and repair protein RecF	DNA repair, bacterial RecFOR pathway, DNA replication cluster 1	5275	6387	
fig|1423.3417.peg.6	CDS	NZ_JBBJSP010000001.1	6618	6403	216	Uncharacterized S4 RNA-binding-domain protein YbcJ	- none -	6403	6618	
fig|1423.3417.peg.7	CDS	NZ_JBBJSP010000001.1	7885	6749	1137	DNA polymerase III beta subunit (EC 2.7.7.7)	DNA replication cluster 1	6749	7885	
fig|1423.3417.peg.8	CDS	NZ_JBBJSP010000001.1	9414	8074	1341	Chromosomal replication initiator protein DnaA	DNA replication cluster 1	8074	9414	
fig|1423.3417.peg.9	CDS	NZ_JBBJSP010000001.1	10327	10677	351	Ribonuclease P protein component (EC 3.1.26.5)	tRNA processing	10327	10677	
fig|1423.3417.peg.10	CDS	NZ_JBBJSP010000001.1	10828	11607	780	Inner membrane protein translocase and chaperone YidC, short form OxaI-like	- none -	10828	11607	
fig|1423.3417.peg.11	CDS	NZ_JBBJSP010000001.1	11604	12230	627	RNA-binding protein Jag	- none -	11604	12230	
fig|1423.3417.peg.12	CDS	NZ_JBBJSP010000001.1	12541	13920	1380	tRNA-5-carboxymethylaminomethyl-2-thiouridine(34) synthesis protein MnmE	- none -	12541	13920	
fig|1423.3417.peg.13	CDS	NZ_JBBJSP010000001.1	13941	15827	1887	tRNA-5-carboxymethylaminomethyl-2-thiouridine(34) synthesis protein MnmG	- none -	13941	15827	
fig|1423.3417.peg.14	CDS	NZ_JBBJSP010000001.1	15841	16560	720	16S rRNA (guanine(527)-N(7))-methyltransferase (EC 2.1.1.170)	- none -	15841	16560	
fig|1423.3417.peg.15	CDS	NZ_JBBJSP010000001.1	16682	17533	852	Chromosome (plasmid) partitioning protein ParB-2	- none -	16682	17533	
fig|1423.3417.peg.16	CDS	NZ_JBBJSP010000001.1	18024	17584	441	hypothetical protein	- none -	17584	18024	
fig|1423.3417.peg.17	CDS	NZ_JBBJSP010000001.1	18271	19032	762	Chromosome (plasmid) partitioning protein ParA	- none -	18271	19032	
fig|1423.3417.peg.18	CDS	NZ_JBBJSP010000001.1	19025	19873	849	Chromosome (plasmid) partitioning protein ParB	- none -	19025	19873	
fig|1423.3417.peg.19	CDS	NZ_JBBJSP010000001.1	20529	19912	618	Uncharacterized protein YyaC	- none -	19912	20529	
fig|1423.3417.peg.20	CDS	NZ_JBBJSP010000001.1	20989	21987	999	Uncharacterized protein YyaD	- none -	20989	21987	
fig|1423.3417.peg.21	CDS	NZ_JBBJSP010000001.1	22081	22287	207	Uncharacterized protein CAC3725	- none -	22081	22287	
fig|1423.3417.peg.22	CDS	NZ_JBBJSP010000001.1	22338	24341	2004	Oxidoreductase, molybdopterin-binding	- none -	22338	24341	
fig|1423.3417.peg.23	CDS	NZ_JBBJSP010000001.1	24468	25568	1101	GTP-binding and nucleic acid-binding protein YchF	- none -	24468	25568	
fig|1423.3417.peg.24	CDS	NZ_JBBJSP010000001.1	25679	25966	288	SSU ribosomal protein S6p	Ribosome SSU bacterial	25679	25966	
fig|1423.3417.peg.25	CDS	NZ_JBBJSP010000001.1	26007	26525	519	Single-stranded DNA-binding protein	DNA repair, bacterial, DNA repair, bacterial RecFOR pathway	26007	26525	
fig|1423.3417.peg.26	CDS	NZ_JBBJSP010000001.1	26569	26808	240	SSU ribosomal protein S18p @ SSU ribosomal protein S18p, zinc-independent	Ribosome SSU bacterial, Ribosome SSU bacterial	26569	26808	
fig|1423.3417.peg.27	CDS	NZ_JBBJSP010000001.1	26872	27630	759	Exodeoxyribonuclease III (EC 3.1.11.2)	DNA repair, bacterial	26872	27630	
fig|1423.3417.peg.28	CDS	NZ_JBBJSP010000001.1	27690	28625	936	Bacillus subtilis catabolite repression transcription factor CcpB	HPr catabolite repression system	27690	28625	
fig|1423.3417.peg.29	CDS	NZ_JBBJSP010000001.1	28681	29061	381	Possible glyoxylase family protein (Lactoylglutathione lyase) (EC 4.4.1.5)	- none -	28681	29061	
fig|1423.3417.peg.30	CDS	NZ_JBBJSP010000001.1	29079	29633	555	Maltose O-acetyltransferase (EC 2.3.1.79)	- none -	29079	29633	
fig|1423.3417.peg.31	CDS	NZ_JBBJSP010000001.1	31022	29667	1356	hypothetical protein	- none -	29667	31022	
fig|1423.3417.peg.32	CDS	NZ_JBBJSP010000001.1	31249	32148	900	hypothetical protein	- none -	31249	32148	
fig|1423.3417.peg.33	CDS	NZ_JBBJSP010000001.1	34214	32145	2070	Uncharacterized protein YyaL	- none -	32145	34214	
fig|1423.3417.peg.34	CDS	NZ_JBBJSP010000001.1	34682	34566	117	hypothetical protein	- none -	34566	34682	
fig|1423.3417.peg.35	CDS	NZ_JBBJSP010000001.1	35159	36721	1563	hypothetical protein	- none -	35159	36721	
fig|1423.3417.peg.36	CDS	NZ_JBBJSP010000001.1	37242	37442	201	Streptothricin acetyltransferase, Streptomyces lavendulae type	Streptothricin resistance	37242	37442	
