Category	Subsystem	Role	Contig	Start	Stop
Carbohydrates	Alpha-acetolactate operon	Alpha-acetolactate decarboxylase (EC 4.1.1.5)	NZ_JBBJSS010000003.1	744054	744767
Carbohydrates	Alpha-acetolactate operon	Acetolactate synthase, catabolic (EC 2.2.1.6)	NZ_JBBJSS010000003.1	742361	744037
Carbohydrates	Glycerate metabolism	Glycerate kinase (EC 2.7.1.31)	NZ_JBBJSS010000005.1	83030	81894
Carbohydrates	Glycerate metabolism	Hydroxypyruvate reductase (EC 1.1.1.81)	NZ_JBBJSS010000007.1	47722	46733
Carbohydrates	Glycerate metabolism	Pyruvate kinase (EC 2.7.1.40)	NZ_JBBJSS010000001.1	889216	887456
Carbohydrates	Glycerate metabolism	2-hydroxy-3-oxopropionate reductase (EC 1.1.1.60)	NZ_JBBJSS010000003.1	358509	357607
Carbohydrates	Glycerate metabolism	D-glycerate transporter (predicted)	NZ_JBBJSS010000005.1	84319	83051
Carbohydrates	Chitin and N-acetylglucosamine utilization	Predicted transcriptional regulator of N-Acetylglucosamine utilization, GntR family	NZ_JBBJSS010000003.1	328987	329712
Carbohydrates	Chitin and N-acetylglucosamine utilization	N-acetylglucosamine-6-phosphate deacetylase (EC 3.5.1.25)	NZ_JBBJSS010000003.1	327005	328189
Carbohydrates	Chitin and N-acetylglucosamine utilization	Glucosamine-6-phosphate deaminase (EC 3.5.99.6)	NZ_JBBJSS010000003.1	328192	328929
Carbohydrates	L-Arabinose utilization	L-ribulose-5-phosphate 4-epimerase (EC 5.1.3.4)	NZ_JBBJSS010000006.1	406010	405312
Carbohydrates	L-Arabinose utilization	L-arabinose isomerase (EC 5.3.1.4)	NZ_JBBJSS010000006.1	405282	403858
Carbohydrates	L-Arabinose utilization	Ribulokinase (EC 2.7.1.16)	NZ_JBBJSS010000006.1	407635	406004
Carbohydrates	L-Arabinose utilization	Arabinose-proton symporter	NZ_JBBJSS010000006.1	403712	402333
Carbohydrates	Xylose utilization	Xylose-responsive transcription regulator, ROK family	NZ_JBBJSS010000009.1	81216	80050
Carbohydrates	Xylose utilization	Xylose isomerase (EC 5.3.1.5)	NZ_JBBJSS010000009.1	81442	82779
Carbohydrates	Xylose utilization	Xylulose kinase (EC 2.7.1.17)	NZ_JBBJSS010000009.1	82838	84340
Carbohydrates	Xylose utilization	D-xylose proton-symporter XylE	NZ_JBBJSS010000009.1	84642	86063
Carbohydrates	D-ribose utilization	Ribokinase (EC 2.7.1.15)	NZ_JBBJSS010000003.1	608823	607945
Carbohydrates	D-ribose utilization	Ribose operon repressor	NZ_JBBJSS010000003.1	609805	608816
Carbohydrates	D-galactarate, D-glucarate and D-glycerate catabolism - gjo	Glycerate kinase (EC 2.7.1.31)	NZ_JBBJSS010000005.1	83030	81894
Carbohydrates	D-galactarate, D-glucarate and D-glycerate catabolism - gjo	Sugar diacid utilization regulator SdaR	NZ_JBBJSS010000005.1	85546	84446
Carbohydrates	D-galactarate, D-glucarate and D-glycerate catabolism - gjo	D-galactarate dehydratase (EC 4.2.1.42)	NZ_JBBJSS010000009.1	114119	113592
Carbohydrates	D-galactarate, D-glucarate and D-glycerate catabolism - gjo	D-glycerate transporter (predicted)	NZ_JBBJSS010000005.1	84319	83051
