Feature ID	Type	Contig	Start	Stop	Length (bp)	Function	Subsystems	Begin	End	Region
fig|2499688.22.peg.1	CDS	NZ_JBBJSR010000001.1	285	1271	987	tRNA-dihydrouridine synthase 2	- none -	285	1271	
fig|2499688.22.peg.2	CDS	NZ_JBBJSR010000001.1	1498	1995	498	hypothetical protein	- none -	1498	1995	
fig|2499688.22.peg.3	CDS	NZ_JBBJSR010000001.1	2026	2733	708	Zinc metalloprotease	- none -	2026	2733	
fig|2499688.22.peg.4	CDS	NZ_JBBJSR010000001.1	3813	2776	1038	hypothetical protein	- none -	2776	3813	
fig|2499688.22.peg.5	CDS	NZ_JBBJSR010000001.1	3980	4684	705	hypothetical protein	- none -	3980	4684	
fig|2499688.22.peg.6	CDS	NZ_JBBJSR010000001.1	5494	5033	462	hypothetical protein	- none -	5033	5494	
fig|2499688.22.peg.7	CDS	NZ_JBBJSR010000001.1	5628	6176	549	Signal peptidase I (EC 3.4.21.89)	CBSS-176299.4.peg.1292, Signal peptidase	5628	6176	
fig|2499688.22.peg.8	CDS	NZ_JBBJSR010000001.1	6206	6367	162	HIT family hydrolase	- none -	6206	6367	
fig|2499688.22.peg.9	CDS	NZ_JBBJSR010000001.1	6400	6534	135	hypothetical protein	- none -	6400	6534	
fig|2499688.22.peg.10	CDS	NZ_JBBJSR010000001.1	6610	7263	654	hypothetical protein	- none -	6610	7263	
fig|2499688.22.peg.11	CDS	NZ_JBBJSR010000001.1	7417	8523	1107	hypothetical protein	- none -	7417	8523	
fig|2499688.22.peg.12	CDS	NZ_JBBJSR010000001.1	9337	8585	753	hypothetical protein	- none -	8585	9337	
fig|2499688.22.peg.13	CDS	NZ_JBBJSR010000001.1	9513	9995	483	hypothetical protein	- none -	9513	9995	
fig|2499688.22.peg.14	CDS	NZ_JBBJSR010000001.1	9992	10510	519	hypothetical protein	- none -	9992	10510	
fig|2499688.22.peg.15	CDS	NZ_JBBJSR010000001.1	10729	11931	1203	Threonine-synthase-like protein 2	- none -	10729	11931	
fig|2499688.22.peg.16	CDS	NZ_JBBJSR010000001.1	12009	12170	162	hypothetical protein	- none -	12009	12170	
fig|2499688.22.peg.17	CDS	NZ_JBBJSR010000001.1	12173	12433	261	hypothetical protein	- none -	12173	12433	
fig|2499688.22.peg.18	CDS	NZ_JBBJSR010000001.1	12550	13326	777	Alkanesulfonate ABC transporter ATP-binding protein SsuB	- none -	12550	13326	
